public_food_key,food_name,sheet,is_liquid_sheet,classification,energy_with_dietary_fibre_equated_kj,energy_without_dietary_fibre_equated_kj,moisture_water_g,protein_g,nitrogen_g,fat_total_g,ash_g,total_dietary_fibre_g,alcohol_g,total_sugars_g,added_sugars_g,free_sugars_g,starch_g,available_carbohydrate_without_sugar_alcohols_g,available_carbohydrate_with_sugar_alcohols_g,calcium_ca_mg,iodine_i_ug,iron_fe_mg,magnesium_mg_mg,phosphorus_p_mg,potassium_k_mg,selenium_se_ug,sodium_na_mg,zinc_zn_mg,retinol_preformed_vitamin_a_ug,betacarotene_ug,betacarotene_equivalents_provitamin_a_ug,vitamin_a_retinol_equivalents_ug,thiamin_b1_mg,riboflavin_b2_mg,niacin_b3_mg,niacin_derived_from_tryptophan_mg,niacin_derived_equivalents_mg,pyridoxine_b6_mg,cobalamin_b12_ug,folate_natural_ug,folic_acid_ug,total_folates_ug,dietary_folate_equivalents_ug,vitamin_c_mg,cholecalciferol_d3_ug,ergocalciferol_d2_ug,25hydroxy_cholecalciferol_25oh_d3_ug,25hydroxy_ergocalciferol_25oh_d2_ug,vitamin_d3_equivalents_ug,alpha_tocopherol_mg,vitamin_e_mg,total_saturated_fatty_acids_equated_percentt,total_monounsaturated_fatty_acids_equated_percentt,c182w6_percentt,c183w3_percentt,c205w3_percentt,c225w3_percentt,c226w3_percentt,total_polyunsaturated_fatty_acids_equated_percentt,total_long_chain_omega_3_fatty_acids_equated_percentt,total_trans_fatty_acids_imputed_percentt,total_saturated_fatty_acids_equated_g,total_monounsaturated_fatty_acids_equated_g,c182w6_g,c183w3_g,c205w3_mg,c225w3_mg,c226w3_mg,total_polyunsaturated_fatty_acids_equated_g,total_long_chain_omega_3_fatty_acids_equated_mg,total_trans_fatty_acids_imputed_mg,caffeine_mg,cholesterol_mg,tryptophan_mggn,tryptophan_mg,fructose_g,glucose_g,sucrose_g,maltose_g,lactose_g,chloride_cl_mg,copper_cu_mg,fluoride_f_ug,manganese_mn_mg,sulphur_s_mg,alphacarotene_ug,cryptoxanthin_ug,c10_percentt,c12_percentt,c14_percentt,c15_percentt,c16_percentt,c17_percentt,c18_percentt,c20_percentt,c22_percentt,c24_percentt,c151_percentt,c161_percentt,c171_percentt,c181_percentt,c201_percentt,c221_percentt,c203w3_percentt,c204w6_percentt,c10_g,c12_g,c14_g,c15_g,c16_g,c17_g,c18_g,c20_g,c22_g,c24_g,c151_g,c161_g,c171_g,c181_g,c201_g,c221_g,c203w3_mg,c204w6_mg,galactose_g,chromium_cr_ug,molybdenum_mo_ug,nickel_ni_ug,pantothenic_acid_b5_mg,biotin_b7_ug,c6_percentt,c8_percentt,c6_g,c8_g,citric_acid_g,lactic_acid_g,malic_acid_g,quinic_acid_g,c4_percentt,c141_percentt,c241_percentt,c183w6_percentt,c202w6_percentt,c203w6_percentt,c224w6_percentt,c4_g,c141_g,c241_g,c183w6_mg,c202w6_mg,c203w6_mg,c224w6_mg,dextrin_g,alanine_mggn,arginine_mggn,aspartic_acid_mggn,cystine_plus_cysteine_mggn,glutamic_acid_mggn,glycine_mggn,histidine_mggn,isoleucine_mggn,leucine_mggn,lysine_mggn,methionine_mggn,phenylalanine_mggn,proline_mggn,serine_mggn,threonine_mggn,tyrosine_mggn,valine_mggn,alanine_mg,arginine_mg,aspartic_acid_mg,cystine_plus_cysteine_mg,glutamic_acid_mg,glycine_mg,histidine_mg,isoleucine_mg,leucine_mg,lysine_mg,methionine_mg,phenylalanine_mg,proline_mg,serine_mg,threonine_mg,tyrosine_mg,valine_mg,maltotrios_g,maltodextrin_g,acetic_acid_g,succinic_acid_g,tartaric_acid_g,aluminium_al_ug,antimony_sb_ug,arsenic_as_ug,cadmium_cd_ug,lead_pb_ug,mercury_hg_ug,tin_sn_ug,beta_tocopherol_mg,delta_tocopherol_mg,gamma_tocopherol_mg,propionic_acid_g,c221w11_percentt,c184w3_percentt,c222w6_percentt,c221w11_mg,c184w3_mg,c222w6_mg,oxalic_acid_g,xanthophyl_ug,cobalt_co_ug,resistant_starch_g,c11_percentt,c13_percentt,c21_percentt,c23_percentt,c11_g,c13_g,c21_g,c23_g,c19_percentt,c19_g,total_undifferentiated_fatty_acids_percentt,total_undifferentiated_fatty_acids_mass_basis_basis_mg,alpha_tocotrienol_mg,beta_tocotrienol_mg,delta_tocotrienol_mg,gamma_tocotrienol_mg,inulin_g,lutein_ug,lycopene_ug,raffinose_g,stachyose_g,sorbitol_g,shikimic_acid_g,mannitol_g,c204_percentt,c204_g,oligosaccharides_g,glycogen_g,c121_percentt,c162w4_percentt,c163_percentt,c183w4_percentt,c184w1_percentt,c202_percentt,c203_percentt,c204w3_percentt,c215w3_percentt,c222_percentt,c225w6_percentt,c121_g,c162w4_mg,c163_g,c183w4_g,c184w1_g,c202_mg,c203_mg,c204w3_mg,c215w3_g,c222_g,c225w6_g,c122_percentt,c122_g,glycerol_g,erythritol_g,maltitol_g,xylitol_g,polydextrose_g,fumaric_acid_g
F000002,"Abalone, black lip, aquacultured, raw",All solids & liquids per 100g,True,15202.0,332.0,332.0,76.6,16.2,2.6,0.8,1.8,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.6,29.0,50.5,2.33,69.0,152.0,250.0,20.5,390.0,1.05,0.0,14.0,14.0,2.0,0.0,0.37,2.0,3.1,5.1,0.09,15.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.94,35.54,20.5,8.5,1.0,10.3,11.2,2.7,41.06,24.215,0.7,0.16,0.1,0.04,0.0,48.08,52.04,12.48,0.19,112.6,3.26,0.0,136.0,70.0,182.0,0.0,0.4,0.0,,0.0,,0.31,,0.037,625.0,,,,0.3,2.8,0.6,24.1,1.0,6.4,0.0,0.0,0.2,0.0,1.9,0.2,15.9,1.4,0.9,0.0,4.0,,0.0,0.01,0.0,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.0,0.16,18.52,,392.5,4.8,150.0,0.54,,,,,,,,,,,0.1,0.0,0.1,0.0,0.3,0.1,,0.0,0.0,0.31,0.0,1.39,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8.1,1.2,,0.0,,0.0,0.0,,,2.1,0.2,,9.88,0.77,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.2,0.1,0.1,0.0,0.1,0.2,1.3,0.0,0.3,0.8,,0.0,0.0,0.31,0.0,0.0,0.0,6.0,0.0,1.2,0.0,,0.0,,,,,,,,
F000003,"Abalone, black lip, wild, raw",All solids & liquids per 100g,True,15202.0,380.0,380.0,75.6,19.4,3.11,0.6,1.7,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.6,21.0,80.0,1.78,54.0,150.0,285.0,8.8,268.0,1.12,0.0,14.0,14.0,2.0,0.0,0.37,2.0,3.7,5.7,0.09,15.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,38.13,24.28,2.7,2.7,7.1,10.0,0.2,36.54,17.394,0.6,0.14,0.09,0.01,0.01,26.73,37.61,0.89,0.14,65.226,2.25,0.0,152.0,70.0,218.0,0.0,0.4,0.0,,0.0,,0.186,,0.021,772.0,,,,0.4,3.7,1.2,21.6,1.6,6.5,0.2,0.2,2.7,0.0,3.0,0.7,18.2,1.4,0.5,0.1,11.3,,0.0,0.01,0.0,0.08,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.07,0.0,0.0,0.35,42.5,,142.0,1.6,235.0,0.54,,,,,,,,,,,0.2,0.1,0.1,0.0,0.1,0.0,,0.0,0.0,0.35,0.0,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.9,1.0,0.6,0.0,,0.0,0.0,,,1.5,0.1,,5.77,0.35,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,,,,,,,,
F000004,"Abalone, brown lip, wild, raw",All solids & liquids per 100g,True,15202.0,352.0,352.0,78.8,17.8,2.86,0.6,1.3,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.6,20.0,110.0,4.65,46.0,110.0,210.0,12.5,280.0,0.74,0.0,14.0,14.0,2.0,0.0,0.37,2.0,3.4,5.4,0.09,15.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.16,42.83,22.86,1.6,0.3,5.8,9.3,0.3,32.74,15.373,1.1,0.15,0.08,0.0,0.0,20.75,33.6,0.99,0.12,55.343,3.96,0.0,123.0,70.0,200.0,0.0,0.4,0.0,,0.0,,0.086,,0.016,650.0,,,,0.4,3.2,1.9,23.8,2.2,7.3,0.2,0.1,3.6,0.0,2.6,0.6,17.8,0.4,1.2,0.0,12.1,,0.0,0.01,0.01,0.08,0.01,0.03,0.0,0.0,0.01,0.0,0.01,0.0,0.06,0.0,0.0,0.0,43.47,,265.0,18.5,325.0,0.54,,,,,,,,,,,0.0,0.2,0.2,0.0,0.2,0.0,,0.0,0.0,0.74,0.0,0.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,28.0,0.0,1.6,0.0,,0.0,0.0,,,2.5,0.1,,9.14,0.24,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,
F000005,"Abalone, green lip, aquacultured, raw",All solids & liquids per 100g,True,15202.0,345.0,345.0,75.2,17.1,2.73,0.8,3.0,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.6,58.0,201.7,2.6,65.0,155.0,260.0,22.3,792.0,1.48,0.0,14.0,14.0,2.0,0.0,0.37,2.0,3.26,5.26,0.09,15.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.44,38.83,24.91,9.3,1.0,6.7,7.0,2.1,33.45,15.758,1.4,0.17,0.11,0.04,0.0,30.25,31.29,9.38,0.15,70.91,6.3,0.0,139.0,70.0,192.0,0.0,0.4,0.0,,0.0,,0.253,,33.5,595.0,,,,0.6,2.4,0.7,26.6,1.4,6.7,0.0,0.1,0.3,0.0,1.7,0.2,18.0,1.6,2.2,0.0,3.3,,0.0,0.01,0.0,0.12,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.01,0.01,0.12,15.06,,293.3,6.4,114.0,0.54,,,,,,,,,,,0.1,1.1,0.1,0.0,0.3,0.1,,0.0,0.0,0.63,0.0,1.38,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,7.0,0.8,1.4,0.0,,0.0,0.0,,,2.4,0.2,,10.7,0.89,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,0.1,0.0,0.0,0.7,0.9,0.0,0.0,0.6,,0.0,0.0,0.38,0.0,0.0,0.0,4.0,0.0,0.1,0.0,,0.0,,,,,,,,
F000006,"Abalone, green lip, wild, raw",All solids & liquids per 100g,True,15202.0,363.0,363.0,74.0,18.7,2.99,0.5,1.6,0.0,0.0,0.4,0.0,0.0,0.0,1.6,1.6,19.0,190.0,2.15,45.0,132.0,252.0,5.8,255.0,0.46,0.0,14.0,14.0,2.0,0.0,0.37,2.0,3.56,5.56,0.09,15.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.79,42.75,24.54,0.8,0.3,5.7,11.0,0.0,31.38,16.85,0.7,0.13,0.07,0.0,0.0,17.22,33.16,0.17,0.09,50.55,2.17,0.0,174.0,70.0,209.0,0.0,0.4,0.0,,0.0,,0.098,,18.0,672.0,,,,0.4,3.1,2.2,22.8,2.5,7.0,0.0,0.0,4.7,0.0,3.8,1.0,17.3,1.5,0.7,0.0,9.1,,0.0,0.01,0.01,0.07,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.05,0.0,0.0,0.0,27.37,,168.2,6.7,140.0,0.54,,,,,,,,,,,0.0,0.1,0.1,0.0,0.2,0.0,,0.0,0.0,0.39,0.0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,32.2,0.0,,0.0,,0.0,0.0,,,1.5,2.3,,4.45,6.93,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",All solids & liquids per 100g,True,29301.0,302.0,302.0,86.4,0.0,0.0,0.0,0.0,0.0,10.3,0.3,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.06,1.0,0.0,1.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.01,64.0,0.0,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",All solids & liquids per 100g,True,29301.0,892.0,892.0,66.9,0.0,0.0,0.0,0.0,0.0,30.7,0.1,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.05,0.0,0.0,1.0,0.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.006,45.0,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000061,"Amaranth, grain, whole, uncooked",All solids & liquids per 100g,True,12101.0,1527.0,1437.0,11.6,15.2,2.43,6.4,2.2,11.1,0.0,3.8,0.0,0.0,51.8,55.6,55.6,147.0,1.0,7.0,237.0,405.0,508.0,28.0,2.0,2.7,0.0,1.0,1.0,0.0,0.09,0.04,0.0,3.23,3.23,0.5,0.0,82.0,0.0,82.0,82.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.1,23.4,49.2,0.8,0.0,0.0,0.0,50.0,0.0,0.0,1.62,1.35,2.84,0.04,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,78.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000074,"Anchovy, canned in oil, drained",All solids & liquids per 100g,True,15401.0,762.0,762.0,49.5,25.4,4.07,8.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,13.0,2.5,69.0,252.0,180.0,68.1,5480.0,2.9,4.0,0.0,0.0,4.0,0.02,0.4,7.9,4.85,12.75,0.2,0.9,13.0,0.0,13.0,13.0,0.0,5.2,0.0,0.2,0.0,6.36,3.3,3.33,23.3,42.7,22.0,2.6,2.1,0.2,6.8,34.0,9.1,3.2,1.97,3.61,1.86,0.22,177.56,16.91,574.94,2.87,769.405,273.18,0.0,77.0,70.0,285.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.8,0.3,16.5,0.4,3.8,0.5,0.0,0.0,,1.6,,40.1,1.0,0.0,0.0,0.3,0.0,0.0,0.15,0.02,1.4,0.03,0.32,0.04,0.0,0.0,,0.14,,3.39,0.08,0.0,0.0,25.36,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000086,"Apple, bonza, unpeeled, raw",All solids & liquids per 100g,True,16101.0,244.0,218.0,85.3,0.3,0.05,0.3,0.2,3.2,0.0,11.5,0.0,0.0,0.0,11.5,12.0,6.0,0.0,0.22,5.0,8.0,88.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.04,0.03,0.0,59.0,0.0,59.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,7.6,2.8,1.1,0.0,0.0,0.0,0.04,0.0,0.028,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
